league_name,club_name,total_wage_eur,rank
"Spain Primera Division","Real Madrid",4848000,1
"Spain Primera Division","FC Barcelona",4738000,2
"Spain Primera Division","Atlético Madrid",1597000,3
"Spain Primera Division","Sevilla FC",814000,4
"Spain Primera Division","Villarreal CF",813500,5
"Spain Primera Division","Valencia CF",714900,6
"Spain Primera Division","Real Sociedad",691000,7
"Spain Primera Division","CA Osasuna",612500,8
"Spain Primera Division","Real Betis",585000,9
"Spain Primera Division","Getafe CF",565500,10
"Spain Primera Division","Levante UD",563000,11
"Spain Primera Division","SD Eibar",563000,11
"Spain Primera Division","Athletic Club de Bilbao",563000,11
"Spain Primera Division","Granada CF",539000,14
"Spain Primera Division","Deportivo Alavés",495000,15
"Spain Primera Division","Cádiz CF",492000,16
"Spain Primera Division","RC Celta",447300,17
"Spain Primera Division","Real Valladolid CF",435000,18
"Spain Primera Division","SD Huesca",345000,19
"Spain Primera Division","Elche CF",208950,20
"German 1. Bundesliga","FC Bayern München",1802000,1
"German 1. Bundesliga","Borussia Dortmund",1314000,2
"German 1. Bundesliga","Bayer 04 Leverkusen",1230000,3
"German 1. Bundesliga","RB Leipzig",1044550,4
"German 1. Bundesliga","VfL Wolfsburg",888000,5
"German 1. Bundesliga","Borussia Mönchengladbach",854600,6
"German 1. Bundesliga","Hertha BSC",769500,7
"German 1. Bundesliga","TSG 1899 Hoffenheim",725000,8
"German 1. Bundesliga","Eintracht Frankfurt",585000,9
"German 1. Bundesliga","FC Schalke 04",505000,10
"German 1. Bundesliga","FC Augsburg",504000,11
"German 1. Bundesliga","SV Werder Bremen",502000,12
"German 1. Bundesliga","1. FC Köln",456000,13
"German 1. Bundesliga","SC Freiburg",448000,14
"German 1. Bundesliga","1. FSV Mainz 05",448000,14
"German 1. Bundesliga","1. FC Union Berlin",440600,16
"German 1. Bundesliga","VfB Stuttgart",361300,17
"German 1. Bundesliga","DSC Arminia Bielefeld",315000,18
"French Ligue 1","Paris Saint-Germain",2125550,1
"French Ligue 1","AS Monaco",1054000,2
"French Ligue 1","Olympique Lyonnais",1004000,3
"French Ligue 1","Olympique de Marseille",780950,4
"French Ligue 1","Stade Rennais FC",749000,5
"French Ligue 1","LOSC Lille",587150,6
"French Ligue 1","OGC Nice",546000,7
"French Ligue 1","FC Girondins de Bordeaux",534000,8
"French Ligue 1","Racing Club de Lens",513000,9
"French Ligue 1","Montpellier HSC",487000,10
"French Ligue 1","AS Saint-Étienne",433100,11
"French Ligue 1","RC Strasbourg Alsace",415000,12
"French Ligue 1","FC Nantes",404000,13
"French Ligue 1","Angers SCO",361000,14
"French Ligue 1","Stade de Reims",350000,15
"French Ligue 1","FC Lorient",320000,16
"French Ligue 1","FC Metz",291500,17
"French Ligue 1","Nîmes Olympique",286000,18
"French Ligue 1","Stade Brestois 29",243000,19
"French Ligue 1","Dijon FCO",183100,20
"English Premier League","Manchester City",3765000,1
"English Premier League",Liverpool,3154000,2
"English Premier League","Manchester United",2950000,3
"English Premier League",Chelsea,2698000,4
"English Premier League","Tottenham Hotspur",2542000,5
"English Premier League",Arsenal,2046000,6
"English Premier League","Leicester City",1981000,7
"English Premier League",Everton,1872000,8
"English Premier League",Fulham,1616000,9
"English Premier League","Wolverhampton Wanderers",1344000,10
"English Premier League","Leeds United",1212500,11
"English Premier League","West Bromwich Albion",1161000,12
"English Premier League","Aston Villa",1141000,13
"English Premier League","Crystal Palace",1131000,14
"English Premier League","Brighton & Hove Albion",1068000,15
"English Premier League",Southampton,1021000,16
"English Premier League","Newcastle United",993000,17
"English Premier League",Burnley,926000,18
"English Premier League","West Ham United",850000,19
"English Premier League","Sheffield United",634000,20
"Italian Serie A",Inter,2776000,1
"Italian Serie A",Juventus,2161000,2
"Italian Serie A",Napoli,1833000,3
"Italian Serie A",Lazio,1513000,4
"Italian Serie A",Atalanta,1297000,5
"Italian Serie A",Roma,1092000,6
"Italian Serie A",Fiorentina,977550,7
"Italian Serie A",Torino,862000,8
"Italian Serie A",Milan,807000,9
"Italian Serie A",Sassuolo,589000,10
"Italian Serie A",Parma,569000,11
"Italian Serie A",Bologna,548000,12
"Italian Serie A",Cagliari,536000,13
"Italian Serie A","Hellas Verona",466000,14
"Italian Serie A",Spezia,360000,15
"Italian Serie A",Udinese,345450,16
"Italian Serie A",Genoa,325700,17
"Italian Serie A",Sampdoria,310000,18
"Italian Serie A",Benevento,285900,19
"Italian Serie A",Crotone,150300,20
