club_name,season,position_class,"average rating"
"Atlético Madrid",18/19,defender,75.1429
"Atlético Madrid",18/19,forward,74.4545
"Atlético Madrid",18/19,midfielder,75.7143
"Atlético Madrid",18/19,NULL,75.0313
"Atlético Madrid",19/20,defender,76.3571
"Atlético Madrid",19/20,forward,73.1538
"Atlético Madrid",19/20,midfielder,77.3000
"Atlético Madrid",19/20,NULL,75.4865
"Atlético Madrid",20/21,defender,77.1429
"Atlético Madrid",20/21,forward,74.1429
"Atlético Madrid",20/21,midfielder,77.5833
"Atlético Madrid",20/21,NULL,76.2250
"Atlético Madrid",NULL,NULL,75.6239
"FC Barcelona",18/19,defender,77.7857
"FC Barcelona",18/19,forward,79.7500
"FC Barcelona",18/19,midfielder,80.6667
"FC Barcelona",18/19,NULL,79.2647
"FC Barcelona",19/20,defender,76.7647
"FC Barcelona",19/20,forward,77.0000
"FC Barcelona",19/20,midfielder,78.8333
"FC Barcelona",19/20,NULL,77.5143
"FC Barcelona",20/21,defender,78.6923
"FC Barcelona",20/21,forward,77.7273
"FC Barcelona",20/21,midfielder,79.0714
"FC Barcelona",20/21,NULL,78.5526
"FC Barcelona",NULL,NULL,78.4393
"Real Madrid",18/19,defender,78.0588
"Real Madrid",18/19,forward,76.7778
"Real Madrid",18/19,midfielder,80.1818
"Real Madrid",18/19,NULL,78.3784
"Real Madrid",19/20,defender,78.0000
"Real Madrid",19/20,forward,78.0909
"Real Madrid",19/20,midfielder,79.5000
"Real Madrid",19/20,NULL,78.5641
"Real Madrid",20/21,defender,78.3846
"Real Madrid",20/21,forward,77.6667
"Real Madrid",20/21,midfielder,80.3333
"Real Madrid",20/21,NULL,78.7838
"Real Madrid",NULL,NULL,78.5752
NULL,NULL,NULL,77.5532
