Spain Primera Division
German 1. Bundesliga
French Ligue 1
English Premier League
Italian Serie A
Turkish Süper Lig
Russian Premier League
Portuguese Liga ZON SAGRES
""
Danish Superliga
USA Major League Soccer
Ukrainian Premier League
Mexican Liga MX
Australian Hyundai A-League
Holland Eredivisie
Greek Super League
Spanish Segunda División
Korean K League Classic
Argentina Primera División
English League Championship
Saudi Abdul L. Jameel League
Austrian Football Bundesliga
South African Premier Division
Scottish Premiership
Belgian Jupiler Pro League
Swiss Super League
German 2. Bundesliga
Chilian Campeonato Nacional
Colombian Liga Postobón
Norwegian Eliteserien
Italian Serie B
Polish T-Mobile Ekstraklasa
Swedish Allsvenskan
French Ligue 2
Scottish Championship
English League One
English League Two
Rep. Ireland Airtricity League
Campeonato Brasileiro Série A
Campeonato Brasileiro Série B
Japanese J. League Division 1
Finnish Veikkausliiga
Czech Republic Gambrinus Liga
German 3. Bundesliga
Chinese Super League
Croatian Prva HNL
Rest of World
Romanian Liga I
Uruguayan Primera División
Paraguayan Primera División
UAE Arabian Gulf League
Ecuadorian Serie A
Peruvian Primera División
Argentinian Primera B Nacional
Liga de Fútbol Profesional Boliviano
Venezuelan Primera División
