0,14/15,FC Barcelona,0
1,14/15,Real Madrid,0
2,14/15,FC Bayern München,1
3,14/15,Paris Saint-Germain,2
4,14/15,Chelsea,3
5,14/15,Manchester United,3
6,14/15,Manchester City,3
7,14/15,Borussia Dortmund,1
8,14/15,Arsenal,3
9,14/15,Juventus,4
10,14/15,Tottenham Hotspur,3
11,14/15,Atlético Madrid,0
12,14/15,Napoli,4
13,14/15,Roma,4
14,14/15,Galatasaray SK,5
15,14/15,FC Schalke 04,1
16,14/15,Fiorentina,4
17,14/15,Liverpool,3
18,14/15,Zenit St. Petersburg,6
19,14/15,AS Saint-Étienne,2
20,14/15,Lazio,4
21,14/15,AS Monaco,2
22,14/15,Inter,4
23,14/15,Valencia CF,0
24,14/15,Milan,4
25,14/15,PFC CSKA Moscow,6
26,14/15,Real Sociedad,0
27,14/15,Bayer 04 Leverkusen,1
28,14/15,FC Porto,7
29,14/15,Stoke City,3
30,14/15,SL Benfica,7
31,14/15,VfL Wolfsburg,1
32,14/15,Everton,3
33,14/15,Hamburger SV,1
34,14/15,Fenerbahçe SK,5
35,14/15,Olympique de Marseille,2
36,14/15,,8
37,14/15,Athletic Club de Bilbao,0
38,14/15,TSG 1899 Hoffenheim,1
39,14/15,Villarreal CF,0
40,14/15,Swansea City,3
41,14/15,Sporting CP,7
42,14/15,FC Girondins de Bordeaux,2
43,14/15,Beşiktaş JK,5
44,14/15,Brøndby IF,9
45,14/15,Seattle Sounders FC,10
46,14/15,Lokomotiv Moscow,6
47,14/15,Dinamo Moscow,6
48,14/15,Sevilla FC,0
49,14/15,Shakhtar Donetsk,11
50,14/15,Aston Villa,3
51,14/15,Southampton,3
52,14/15,Eintracht Frankfurt,1
53,14/15,Olympique Lyonnais,2
54,14/15,RCD Espanyol,0
55,14/15,Spartak Moscow,6
56,14/15,LOSC Lille,2
57,14/15,Trabzonspor,5
58,14/15,Parma,4
59,14/15,Querétaro,12
60,14/15,Toronto FC,10
61,14/15,Melbourne City FC,13
62,14/15,Málaga CF,0
63,14/15,Borussia Mönchengladbach,1
64,14/15,West Ham United,3
65,14/15,Newcastle United,3
66,14/15,Hannover 96,1
67,14/15,Getafe CF,0
68,14/15,Queens Park Rangers,3
69,14/15,Hertha BSC,1
70,14/15,VfB Stuttgart,1
71,14/15,Ajax,14
72,14/15,Torino,4
73,14/15,LA Galaxy,10
74,14/15,Hull City,3
75,14/15,West Bromwich Albion,3
76,14/15,PSV,14
77,14/15,Sassuolo,4
78,14/15,Olympiacos CFP,15
79,14/15,FC Krasnodar,6
80,14/15,Stade Rennais FC,2
81,14/15,New York Red Bulls,10
82,14/15,Real Betis,16
83,14/15,Udinese,4
84,14/15,Jeonbuk Hyundai Motors,17
85,14/15,Leicester City,3
86,14/15,Racing Club,18
87,14/15,Granada CF,0
88,14/15,Fulham,19
89,14/15,Al Hilal,20
90,14/15,SC Braga,7
91,14/15,Rayo Vallecano,0
92,14/15,FC Red Bull Salzburg,21
93,14/15,FC Nantes,2
94,14/15,RC Celta,0
95,14/15,Toulouse Football Club,2
96,14/15,SC Freiburg,1
97,14/15,Kaizer Chiefs,22
98,14/15,Kuban Krasnodar,6
99,14/15,Norwich City,19
100,14/15,Vélez Sarsfield,18
101,14/15,FC Metz,2
102,14/15,Newell's Old Boys,18
103,14/15,Real Valladolid CF,16
104,14/15,Levante UD,0
105,14/15,New England Revolution,10
106,14/15,FC Augsburg,1
107,14/15,Stade de Reims,2
108,14/15,Atalanta,4
109,14/15,Montpellier HSC,2
110,14/15,Sunderland,3
111,14/15,1. FC Köln,1
112,14/15,Sampdoria,4
113,14/15,Feyenoord,14
114,14/15,Portland Timbers,10
115,14/15,Panathinaikos FC,15
116,14/15,Sivasspor,5
117,14/15,Al Shabab,20
118,14/15,Al Ittihad,20
119,14/15,1. FSV Mainz 05,1
120,14/15,Genoa,4
121,14/15,Çaykur Rizespor,5
122,14/15,Celtic,23
123,14/15,Cardiff City,19
124,14/15,RSC Anderlecht,24
125,14/15,SV Werder Bremen,1
126,14/15,Elche CF,0
127,14/15,Bursaspor,5
128,14/15,Real Salt Lake,10
129,14/15,FC Basel 1893,25
130,14/15,Hellas Verona,4
131,14/15,1. FC Nürnberg,26
132,14/15,Colo-Colo,27
133,14/15,Boca Juniors,18
134,14/15,Club América,12
135,14/15,OGC Nice,2
136,14/15,Columbus Crew SC,10
137,14/15,Montreal Impact,10
138,14/15,Vancouver Whitecaps FC,10
139,14/15,Rubin Kazan,6
140,14/15,Al Nassr,20
141,14/15,San Lorenzo de Almagro,18
142,14/15,River Plate,18
143,14/15,Chievo Verona,4
144,14/15,Cagliari,4
145,14/15,PEC Zwolle,14
146,14/15,Standard de Liège,24
147,14/15,Independiente Santa Fe,28
148,14/15,Córdoba CF,0
149,14/15,Deportivo de La Coruña,0
150,14/15,Club Atlético Lanús,18
151,14/15,Évian Thonon Gaillard FC,2
152,14/15,Vitesse,14
153,14/15,FC Twente,14
154,14/15,FC Utrecht,14
155,14/15,Crystal Palace,3
156,14/15,Monterrey,12
157,14/15,FC Lorient,2
158,14/15,SD Eibar,0
159,14/15,CA Osasuna,16
160,14/15,Gaziantepspor,5
161,14/15,PAOK,15
162,14/15,Cruz Azul,12
163,14/15,Club Tijuana,12
164,14/15,Eskişehirspor,5
165,14/15,Kasimpaşa SK,5
166,14/15,Tigres U.A.N.L.,12
167,14/15,Estoril Praia,7
168,14/15,En Avant de Guingamp,2
169,14/15,CD Nacional,7
170,14/15,FC Zürich,25
171,14/15,Vitória Guimarães,7
172,14/15,Sporting Club de Bastia,2
173,14/15,Cesena,4
174,14/15,AZ Alkmaar,14
175,14/15,Atlético Nacional,28
176,14/15,Club Brugge KV,24
177,14/15,UD Almería,0
178,14/15,Orlando Pirates,22
179,14/15,Middlesbrough,19
180,14/15,Wolverhampton Wanderers,19
181,14/15,Blackburn Rovers,19
182,14/15,Rio Ave FC,7
183,14/15,Club Atlético Tigre,18
184,14/15,Molde FK,29
185,14/15,Universidad Católica,27
186,14/15,FC Groningen,14
187,14/15,Club León,12
188,14/15,Sporting de Charleroi,24
189,14/15,FC København,9
190,14/15,Palermo,4
191,14/15,Watford,19
192,14/15,FC Rostov,6
193,14/15,Wigan Athletic,19
194,14/15,Club Atlas,12
195,14/15,Al Ahli,20
196,14/15,Catania,30
197,14/15,Sheffield Wednesday,19
198,14/15,San Jose Earthquakes,10
199,14/15,Wisła Kraków,31
200,14/15,Universidad de Chile,27
201,14/15,Al Fateh,20
202,14/15,Sporting Lokeren,24
203,14/15,KV Oostende,24
204,14/15,Estudiantes de La Plata,18
205,14/15,Chivas USA,10
206,14/15,Terek Grozny,6
207,14/15,Ulsan Hyundai FC,17
208,14/15,Pachuca,12
209,14/15,Kardemir Karabükspor,5
210,14/15,Sporting Kansas City,10
211,14/15,AIK,32
212,14/15,KRC Genk,24
213,14/15,Independiente Medellín,28
214,14/15,UD Las Palmas,16
215,14/15,Melbourne Victory,13
216,14/15,AC Arles Avignon,33
217,14/15,Akhisar Belediyespor,5
218,14/15,Atiker Konyaspor,5
219,14/15,Malmö FF,32
220,14/15,Rosenborg BK,29
221,14/15,Kayseri Erciyesspor,5
222,14/15,Real Zaragoza,16
223,14/15,Fortuna Düsseldorf,26
224,14/15,Sydney FC,13
225,14/15,Belgrano de Córdoba,18
226,14/15,Medipol Başakşehir FK,5
227,14/15,Deportivo Toluca,12
228,14/15,Junior FC,28
229,14/15,Stade Malherbe Caen,2
230,14/15,Philadelphia Union,10
231,14/15,Brighton & Hove Albion,19
232,14/15,KVC Westerlo,24
233,14/15,SpVgg Greuther Fürth,26
234,14/15,Aalesunds FK,29
235,14/15,Houston Dynamo,10
236,14/15,FC Luzern,25
237,14/15,Clube Sport Marítimo,7
238,14/15,Independiente,18
239,14/15,Mersin İdman Yurdu,5
240,14/15,Burnley,3
241,14/15,Bari,30
242,14/15,Bournemouth,19
243,14/15,FC Arouca,7
244,14/15,FC Paços de Ferreira,7
245,14/15,1. FC Kaiserslautern,26
246,14/15,Real Sporting de Gijón,16
247,14/15,FC Dallas,10
248,14/15,RCD Mallorca,16
249,14/15,Bolton Wanderers,19
250,14/15,Torpedo Moscow,6
251,14/15,Strømsgodset IF,29
252,14/15,TSV 1860 München,26
253,14/15,Arsenal de Sarandí,18
254,14/15,Reading,19
255,14/15,Santos Laguna,12
256,14/15,Gil Vicente FC,7
257,14/15,Grasshopper Club Zürich,25
258,14/15,AC Ajaccio,33
259,14/15,Empoli,4
260,14/15,FC Sochaux-Montbéliard,33
261,14/15,Valenciennes FC,33
262,14/15,Suwon Samsung Bluewings,17
263,14/15,Monarcas Morelia,12
264,14/15,Once Caldas,28
265,14/15,CD Tenerife,16
266,14/15,AJ Auxerre,33
267,14/15,Kilmarnock,23
268,14/15,Derby County,19
269,14/15,Unión Española,27
270,14/15,VfL Bochum 1848,26
271,14/15,CD O'Higgins,27
272,14/15,Jaguares de Chiapas,12
273,14/15,Brescia,30
274,14/15,Legia Warszawa,31
275,14/15,RB Leipzig,26
276,14/15,SC Paderborn 07,1
277,14/15,Racing Club de Lens,2
278,14/15,Associação Académica de Coimbra,7
279,14/15,Millonarios FC,28
280,14/15,Livorno,30
281,14/15,Perugia,30
282,14/15,Os Belenenses,7
283,14/15,Nottingham Forest,19
284,14/15,Carpi,30
285,14/15,Vålerenga Fotball,29
286,14/15,Ipswich Town,19
287,14/15,Pescara,30
288,14/15,Inverness Caledonian Thistle,23
289,14/15,Viking FK,29
290,14/15,Gençlerbirliği SK,5
291,14/15,FC Ingolstadt 04,26
292,14/15,Lech Poznań,31
293,14/15,Atlético de Rafaela,18
294,14/15,Birmingham City,19
295,14/15,Charlton Athletic,19
296,14/15,SC Heerenveen,14
297,14/15,Santiago Wanderers,27
298,14/15,IFK Göteborg,32
299,14/15,FC Nordsjælland,9
300,14/15,Leeds United,19
301,14/15,Eintracht Braunschweig,26
302,14/15,Unión La Calera,27
303,14/15,CD Cobreloa,27
304,14/15,Esbjerg fB,9
305,14/15,SV Zulte-Waregem,24
306,14/15,BSC Young Boys,25
307,14/15,Rangers FC,34
308,14/15,Brisbane Roar,13
309,14/15,Puebla FC,12
310,14/15,Bologna,30
311,14/15,Deportivo Cali,28
312,14/15,Colorado Rapids,10
313,14/15,U.N.A.M.,12
314,14/15,FC St. Gallen,25
315,14/15,Deportivo Alavés,16
316,14/15,Stade Brestois 29,33
317,14/15,Virtus Entella,30
318,14/15,Guadalajara,12
319,14/15,KAA Gent,24
320,14/15,Pogoń Szczecin,31
321,14/15,Stade Lavallois Mayenne FC,33
322,14/15,Trapani,30
323,14/15,FC Barcelona B,16
324,14/15,Dundee United,23
325,14/15,Moreirense FC,7
326,14/15,FC Sion,25
327,14/15,Heracles Almelo,14
328,14/15,DC United,10
329,14/15,Dijon FCO,33
330,14/15,Rosario Central,18
331,14/15,FC Ural Yekaterinburg,6
332,14/15,Spezia,30
333,14/15,Willem II,14
334,14/15,FC Seoul,17
335,14/15,Modena,30
336,14/15,Balıkesirspor,5
337,14/15,ADO Den Haag,14
338,14/15,Odense Boldklub,9
339,14/15,Gimnasia y Esgrima La Plata,18
340,14/15,Millwall,19
341,14/15,CD Palestino,27
342,14/15,FC Penafiel,7
343,14/15,Huddersfield Town,19
344,14/15,Nîmes Olympique,33
345,14/15,Godoy Cruz,18
346,14/15,SD Ponferradina,16
347,14/15,Le Havre AC,33
348,14/15,IF Elfsborg,32
349,14/15,NAC Breda,14
350,14/15,Western Sydney Wanderers,13
351,14/15,FSV Frankfurt,26
352,14/15,SK Rapid Wien,21
353,14/15,Girona FC,16
354,14/15,AS Nancy Lorraine,33
355,14/15,Aalborg BK,9
356,14/15,Uniautónoma FC,28
357,14/15,RC Recreativo de Huelva,16
358,14/15,CD Lugo,16
359,14/15,Ternana,30
360,14/15,Śląsk Wrocław,31
361,14/15,CD Numancia,16
362,14/15,FC St. Pauli,26
363,14/15,Boavista FC,7
364,14/15,Brentford,19
365,14/15,Tiburones Rojos de Veracruz,12
366,14/15,Randers FC,9
367,14/15,Jeju United FC,17
368,14/15,Club Atlético Banfield,18
369,14/15,Helsingborgs IF,32
370,14/15,Deportivo Pasto,28
371,14/15,CD Cobresal,27
372,14/15,FC Ufa,6
373,14/15,Deportivo Ñublense,27
374,14/15,US Créteil-Lusitanos,33
375,14/15,Sandnes Ulf,29
376,14/15,Lechia Gdańsk,31
377,14/15,Deportes Tolima,28
378,14/15,Royal Excel Mouscron,24
379,14/15,Latina,30
380,14/15,Club Olimpo,18
381,14/15,Angers SCO,33
382,14/15,FK Austria Wien,21
383,14/15,KV Mechelen,24
384,14/15,Frosinone,30
385,14/15,1. FC Union Berlin,26
386,14/15,SV Sandhausen,26
387,14/15,FK Haugesund,29
388,14/15,Alianza Petrolera,28
389,14/15,SK Brann,29
390,14/15,Quilmes Atlético Club,18
391,14/15,Odds BK,29
392,14/15,FC Thun,25
393,14/15,CE Sabadell FC,16
394,14/15,KV Kortrijk,24
395,14/15,FC Midtjylland,9
396,14/15,Vitória de Setúbal,7
397,14/15,Rionegro Águilas,28
398,14/15,Aberdeen,23
399,14/15,Coventry City,35
400,14/15,Jagiellonia Białystok,31
401,14/15,ESTAC Troyes,33
402,14/15,La Berrichonne de Châteauroux,33
403,14/15,Leyton Orient,35
404,14/15,Incheon United FC,17
405,14/15,Leones Negros de la UdeG,12
406,14/15,GFC Ajaccio,33
407,14/15,Audax Italiano,27
408,14/15,Fleetwood Town,35
409,14/15,Al Faisaly,20
410,14/15,Jeonnam Dragons,17
411,14/15,Gyeongnam FC,17
412,14/15,Chicago Fire,10
413,14/15,Al Raed,20
414,14/15,Tours FC,33
415,14/15,Lierse SK,24
416,14/15,Blackpool,19
417,14/15,Fortaleza CEIF,28
418,14/15,Kalmar FF,32
419,14/15,Amkar Perm,6
420,14/15,Arsenal Tula,6
421,14/15,Rotherham United,19
422,14/15,Barnsley,35
423,14/15,AD Alcorcón,16
424,14/15,Adelaide United,13
425,14/15,CD Huachipato,27
426,14/15,Al Orobah,20
427,14/15,Crotone,30
428,14/15,Karlsruher SC,26
429,14/15,Patriotas Boyacá FC,28
430,14/15,CD Universidad de Concepción,27
431,14/15,Clermont Foot 63,33
432,14/15,BK Häcken,32
433,14/15,FC Dordrecht,14
434,14/15,UE Llagostera,16
435,14/15,Waasland-Beveren,24
436,14/15,Avellino,30
437,14/15,Go Ahead Eagles,14
438,14/15,CD Antofagasta,27
439,14/15,Boyacá Chicó FC,28
440,14/15,Busan IPark,17
441,14/15,SK Sturm Graz,21
442,14/15,Motherwell,23
443,14/15,Envigado FC,28
444,14/15,SC Cambuur,14
445,14/15,Notts County,35
446,14/15,Varese,30
447,14/15,FC Vestsjælland,9
448,14/15,Deportes Iquique,27
449,14/15,SønderjyskE,9
450,14/15,Mordovia Saransk,6
451,14/15,Pohang Steelers,17
452,14/15,Piast Gliwice,31
453,14/15,Seongnam FC,17
454,14/15,La Equidad,28
455,14/15,Cittadella,30
456,14/15,Al Taawoun,20
457,14/15,KSV Cercle Brugge,24
458,14/15,Defensa y Justicia,18
459,14/15,Bristol City,35
460,14/15,FK Bodø/Glimt,29
461,14/15,SS Virtus Lanciano,30
462,14/15,Deportivo San Marcos de Arica,27
463,14/15,Partick Thistle FC,23
464,14/15,SV Darmstadt 98,26
465,14/15,IK Start,29
466,14/15,CD Mirandés,16
467,14/15,Wellington Phoenix,13
468,14/15,Górnik Zabrze,31
469,14/15,Perth Glory,13
470,14/15,Korona Kielce,31
471,14/15,St. Mirren,23
472,14/15,Djurgårdens IF,32
473,14/15,Lillestrøm SK,29
474,14/15,Åtvidabergs FF,32
475,14/15,VfR Aalen,26
476,14/15,FC Aarau,25
477,14/15,Excelsior,14
478,14/15,Mjällby AIF,32
479,14/15,Sarpsborg 08 FF,29
480,14/15,SV Ried,21
481,14/15,Sheffield United,35
482,14/15,Cracovia,31
483,14/15,Sogndal Fotball,29
484,14/15,Sangju Sangmu FC,17
485,14/15,FC Pro Vercelli 1892,30
486,14/15,Hobro IK,9
487,14/15,Racing Santander,16
488,14/15,1. FC Heidenheim 1846,26
489,14/15,Chamois Niortais Football Club,33
490,14/15,FC Erzgebirge Aue,26
491,14/15,GKS Bełchatów,31
492,14/15,Crewe Alexandra,35
493,14/15,Albacete BP,16
494,14/15,Peterborough United,35
495,14/15,Gefle IF,32
496,14/15,CD Leganés,16
497,14/15,Central Coast Mariners,13
498,14/15,St. Johnstone FC,23
499,14/15,Vicenza,30
